Code,BEHIND:HOME,EFFORT:SPOIL,FK:AGAINST,FK:FOR,GOAL:HOME,HB:EF,HB:IE,HB:TO,I50:INDIVIDUAL,KICK:EF,KICK:IE,KICK:TO,MARK:CONT,MARK:F50,MARK:INT,MARK:UC,POSS:CONT,POSS:HB REC,POSS:UNCON,RUCK:HO,TACKLE:EF
BALL UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRE BOUNCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THROW IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAY KICKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Kick- Umpires,0,0,0,15,1,0,0,0,2,9,0,0,0,0,0,0,15,0,1,0,0
HOME BEHIND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOME GOAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOME I50,1,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0
H02,1,0,0,3,0,2,1,0,3,8,5,1,1,0,1,1,9,5,11,0,4
H03,1,0,0,1,0,9,0,0,4,12,3,1,0,0,0,5,9,13,21,0,3
H04,0,0,1,1,0,6,0,0,2,4,1,1,2,0,0,2,7,3,6,0,3
H05,1,0,0,0,0,9,1,1,2,9,3,1,0,0,0,0,7,11,17,0,0
H06,0,0,0,0,0,9,2,0,0,2,2,1,0,0,0,2,13,1,5,0,2
H07,1,2,0,1,0,0,0,1,1,6,6,1,0,1,1,7,3,0,12,0,2
H09,0,0,1,2,1,2,0,2,2,14,2,3,2,1,0,5,15,3,11,0,6
H11,1,0,0,1,0,3,0,0,0,6,0,0,0,1,0,3,6,1,6,0,2
H15,1,1,0,1,3,6,0,0,2,6,1,0,3,3,0,2,10,3,6,0,1
H21,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,0,0,2,0,0
H22,0,1,1,1,0,6,0,1,1,1,1,0,0,1,0,1,4,2,5,12,0
H24,1,0,0,0,2,0,0,0,1,3,1,0,1,2,0,2,2,1,5,0,3
H28,0,1,0,1,0,4,1,0,0,3,0,0,0,0,0,0,7,0,2,0,1
H30,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,1
H32,0,1,0,0,0,1,0,0,1,12,2,3,5,0,4,0,6,2,10,0,1
H33,1,0,0,1,1,2,0,1,3,8,4,1,0,2,0,8,6,3,14,2,1
H34,0,0,0,0,0,2,0,0,1,3,0,1,0,0,0,1,1,1,4,0,0
H35,1,0,1,0,0,2,0,0,2,3,0,1,0,1,0,1,1,4,7,0,1
H36,0,0,0,0,0,2,0,2,4,11,3,0,0,0,0,6,3,7,15,0,1
H41,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,2,2,0
H44,0,0,1,1,2,0,0,0,3,4,0,0,2,1,0,1,5,0,2,0,4
H47,0,0,1,1,0,5,0,0,1,5,1,0,0,0,0,1,7,1,6,0,2
H99 Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
